,Text
197,"  
 This section is based on the principle of construc-tive trust, which has been defined in the standard English and American Text Books and is an extension of the principle that a trustee shall not be allowed to make profit out of the trust (E. B. Powell, The Indian Trusts Act, p. 388).   
 31."
198,The fourth ground which has vehemently been argued by counsel for the petitioner is that the age of retirement of Chairman has been fixed at 72 years with the sole intention and object of accommodating respondent No.6 at the behest of respondent No.5 and the same would fall foul to the observations made by the Division Bench of this Court in the case of Manmohan Singh Chaudhary (supra).
199,"To sum up, the basis of every levy is the controlling factor."
200,"This intimation could not be treated as communicating to the appellant that he had a right under law, to be searched before the said authorities."
201,"of   which   the   Plaintiff-       Kuljinder   Singh   Ahluwalia,   Defendant   No.1   Smt.   Sandeep   Kaur       Ahluwalia and Defendant No.2, Ravinder Singh Ahluwalia are the       partners in equal share.   "
202,"My father therefore, could not come to Hyderabad to file Rx.B157A and 157B and therefore had given me this paper to file in this Ilon'ble Court."
203,"As prayed, let the writ petition be listed after a week."
204,"In the present case, there is no material indicating that the work is not available."
205,"On 23.10.2004, whey they again contacted Mahavir Singh then he replied that he had no knowledge as to where the truck is at that time."
206,"On 18.10.1999 he recorded the voluntary statement of P.W.6 Kadher on the basis of which he arrested the 5th accused Ravisankar and the accused Mariappan, since deceased and sent them to judicial custody."
207,The fact in issue or relevant fact is whether appellant Arun took any part and if so what part in the murder of Sadhana.
208,"THE EXECUTIVE ENGINEER NATIONAL HIGHWAY DIVISION KARWAR UTTAR KANNADA 3. THE REGIONAL TRANSPORT OFFICER KARWAR UTTAR KANNADA ... RESPONDENTS (BY SRI V.M. BANAKAR, ADDL. SPP FOR R1-R3) THIS W.P. IS FILED UNDER ARTICLES 226 AND 227 OF THE CONSTITUTION OF INDIA PRAYING"
209,"Before considering how far the cashew-nut purchases made by the respondents are, on the findings returned by the High Court, entitled to the protection of article 286(1)(b), it is necessary first to ascertain the scope of such protection."
210,The court held that the claimant who opts for accepting the lump-sum compensation based on structured formula would get the relief at the earliest.
211,The petitioner and several others then approached the General Foreman who intervened and ordered the petitioner and others to join duty.
212,"The learned Judges relying on a Calcutta case reported in Rogers Pratt Shellac Co, v. Secy. of State, AIR 1925 Cal 34, observed:-- ""It is clear therefore, that income may accrue, to an assessee without the actual receipt of the same."
213,"Let fresh bailable warrant of Rs.20,000/- (Rupees Twenty Thousand) be issued through Superintendent of Police,

Dhar to the respondents No.1 Sikandar and No.2 Aziz for a date to be fixed by the Registry to secure the presence of the respondents No.1 and 2, made returnable within six weeks.



      (P.K.Jaiswal)                    (Jarat Kumar Jain)
          Judge                               Judge ns.
                        W.P.No.1361/2013 14/12/2015              Parties through their Counsel."
214,Section 8 of the NDPS Act of 1985 and Rule 53 of the NDPS Rules of 1985 contain a prohibitory clause.
215,The deceased was then dealt dharia blows by the defendants in the neighbouring field of the second respondent Parshottam and murder of the deceased was committed by belabouring him cruelly and intentionally out of enmity and malice.
216,"

30.The Ld. Trial Court referred to Dalbir Singh Vs. State of Haryana (2000) 5 SCC 82 to deny the benevolent provisions of release on probation to the appellant and to award substantive sentences for the <span class=""hidden_text"" id=""span_14"">Crl."
217,4/21 Darvish was convicted for the offence u/s 25 of the Arms Act while other co-accused persons namely Yash Sharma and Lekhraj were acquitted.
218,There was an offer to send details of the routes where augmentation of trips was considered necessary and to supply the names of suitable operators for that purpose on receipt of a reply from the State Transport Authority.
219,"Therefore, Special Case No. 24 of 1982 and Special Case No. 3/83 pending in the Court of Special judge, Greater Bombay Shri R.B. Sule are withdrawn and transferred to the High Court of Bombay with a request to the learned Chief Justice to assign these two cases to a sitting Judge of the High Court."
220,"In the instant case, since the property was pledged to the respondent bank and for non-payment of the loan amount the property was attached for the purposes of sale, provisions of the Act, 2002 will be applicable in the instant case which bars such suits and grant of injunction."
221,"After referring to these decisions, a Constitution Bench of this Court in Haricharan Kurmi v. State of Bihar [1964 (6) SCR 623] further clarified the legal position thus:
"".In dealing with a case against an accused person"
222,"It is also in the evidence of PW.24 that accused was taken by the police with other witnesses to a distance of 15 to 16 kms. from Hunsur towards Mysore, where mahazar Ex.P.48 was prepared and signed by him."
223,operated with the Commissioner of Income-tax most willingly and produced the documents of title and furnished all other particulars and handed over possession of the property and also attorned the tenancy of a portion of the building in favour of the Central Government.
224,"The report of radiological examination of the prosecutrix PW 2 Monika is also Ex. P/5, which shows x-rays of elbow, wrist joint and pelvis were taken for determining the radiological age of the prosecutrix and it has opined in that report Ex. P/5 that the age of the prosecutrix PW 2 Monika was about between 15 to 17 years,"
225,"The unsecured loan shall not carry any interest during the implementation period and such unsecured loans may carry interest at the rate not exceeding the average rate of interest on the Institutional Rupee Loans for the Project or the rate of dividend paid on Equity capital, whichever is lower."
226,"The evidence of Champalal Jain (P. W. 1) is, more or less, to the same effect."
227,"In regard to the enumerated matters in Section 68(2), there is a statutory recognition that the State Government has power to make rules with regard to them."
228,"Thus unless and until the Assessing Officer bid obtained the details and information regarding the exact bifurcation of provisions under various heads described above, it could not have been said as to what amount pertained to which particular head and whether the head 'sundries' also included any doubtful debts."
